Updating build index: /home/vsts/conda/conda-bld

TEST START: /tmp/tmpcxr8mxp1/noarch/snakelines-0.10.0-hdfd78af_1.tar.bz2
Reloading output folder: /home/vsts/conda/conda-bld
  Package                               Version  Build                Channel                       Size
──────────────────────────────────────────────────────────────────────────────────────────────────────────
  Install:
──────────────────────────────────────────────────────────────────────────────────────────────────────────

  + gts                                   0.7.6  h1fc3fae_2           conda-forge/linux-64        388 KB
  + harfbuzz                              2.7.2  ha5b49bf_1           conda-forge/linux-64          2 MB
  + hdmedians                            0.14.2  py37h6f94858_0       conda-forge/linux-64        153 KB
  + html5lib                                1.1  pyh9f0ad1d_0         conda-forge/noarch           89 KB
  + icu                                    67.1  he1b5a44_0           conda-forge/linux-64         13 MB
  + idna                                    3.1  pyhd3deb0d_0         conda-forge/noarch          Cached
  + imagemagick                       7.0.10_28  pl5262hd815ba0_2     conda-forge/linux-64          3 MB
  + importlib-metadata                    4.8.1  py37h89c1867_0       conda-forge/linux-64         32 KB
  + importlib_metadata                    4.8.1  hd8ed1ab_0           conda-forge/noarch            4 KB
  + iniconfig                             1.1.1  pyh9f0ad1d_0         conda-forge/noarch          Cached
  + ipython                              7.28.0  py37h6531663_0       conda-forge/linux-64          1 MB
  + ipython_genutils                      0.2.0  py_1                 conda-forge/noarch          Cached
  + jbig                                    2.1  h7f98852_2003        conda-forge/linux-64        Cached
  + jdcal                                 1.4.1  py_0                 conda-forge/noarch            9 KB
  + jedi                                 0.18.0  py37h89c1867_2       conda-forge/linux-64        923 KB
  + jinja2                               2.11.2  pyh9f0ad1d_0         conda-forge/noarch           93 KB
  + jmespath                             0.10.0  pyh9f0ad1d_0         conda-forge/noarch          Cached
  + joblib                                1.1.0  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + jpeg                                     9d  h36c2ea0_0           conda-forge/linux-64        Cached
  + jsonschema                            4.1.2  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + jupyter_core                          4.8.1  py37h89c1867_0       conda-forge/linux-64         78 KB
  + kiwisolver                            1.3.2  py37h2527ec5_0       conda-forge/linux-64         78 KB
  + krb5                                 1.19.2  hcc1bbae_0           conda-forge/linux-64          1 MB
  + lcms2                                  2.12  hddcbb42_0           conda-forge/linux-64        Cached
  + ld_impl_linux-64                     2.36.1  hea4e1c9_2           conda-forge/linux-64        Cached
  + lerc                                  2.2.1  h9c3ff4c_0           conda-forge/linux-64        Cached
  + libblas                               3.9.0  12_linux64_openblas  conda-forge/linux-64        Cached
  + libcblas                              3.9.0  12_linux64_openblas  conda-forge/linux-64        Cached
  + libcrc32c                             1.1.2  h9c3ff4c_0           conda-forge/linux-64        Cached
  + libcurl                              7.79.1  h2574ce0_1           conda-forge/linux-64        Cached
  + libdeflate                              1.7  h7f98852_5           conda-forge/linux-64        Cached
  + libedit                        3.1.20191231  he28a2e2_2           conda-forge/linux-64        Cached
  + libev                                  4.33  h516909a_1           conda-forge/linux-64        Cached
  + libffi                                3.2.1  he1b5a44_1007        conda-forge/linux-64         47 KB
  + libgcc-ng                            11.2.0  h1d223b6_11          conda-forge/linux-64        Cached
  + libgfortran-ng                       11.2.0  h69a702a_11          conda-forge/linux-64        Cached
  + libgfortran5                         11.2.0  h5c6108e_11          conda-forge/linux-64        Cached
  + libglib                              2.66.3  hbe7bbb4_0           conda-forge/linux-64          3 MB
  + libgomp                              11.2.0  h1d223b6_11          conda-forge/linux-64        Cached
  + libiconv                               1.16  h516909a_0           conda-forge/linux-64        Cached
  + liblapack                             3.9.0  12_linux64_openblas  conda-forge/linux-64        Cached
  + libnghttp2                           1.43.0  h812cca2_1           conda-forge/linux-64        Cached
  + libopenblas                          0.3.18  pthreads_h8fe5266_0  conda-forge/linux-64        Cached
  + libpng                               1.6.37  h21135ba_2           conda-forge/linux-64        Cached
  + libprotobuf                          3.18.1  h780b84a_0           conda-forge/linux-64          3 MB
  + librsvg                              2.50.2  h3442318_1           conda-forge/linux-64         17 MB
  + libsodium                            1.0.18  h36c2ea0_1           conda-forge/linux-64        Cached
  + libssh2                              1.10.0  ha56f1ee_2           conda-forge/linux-64        Cached
  + libstdcxx-ng                         11.2.0  he4da1e4_11          conda-forge/linux-64        Cached
  + libtiff                               4.3.0  hf544144_1           conda-forge/linux-64        Cached
  + libtool                               2.4.6  h9c3ff4c_1008        conda-forge/linux-64        Cached
  + libuuid                              2.32.1  h7f98852_1000        conda-forge/linux-64        Cached
  + libwebp                               1.2.1  h3452ae3_0           conda-forge/linux-64        Cached
  + libwebp-base                          1.2.1  h7f98852_0           conda-forge/linux-64        Cached
  + libxcb                                 1.13  h7f98852_1003        conda-forge/linux-64        Cached
  + libxml2                              2.9.10  h68273f3_2           conda-forge/linux-64          1 MB
  + libzlib                              1.2.11  h36c2ea0_1013        conda-forge/linux-64        Cached
  + lockfile                             0.12.2  py_1                 conda-forge/noarch           11 KB
  + lz4-c                                 1.9.3  h9c3ff4c_1           conda-forge/linux-64        Cached
  + markupsafe                            2.0.1  py37h5e8e339_0       conda-forge/linux-64         22 KB
  + matplotlib-base                       3.4.3  py37h1058ff1_0       conda-forge/linux-64          7 MB
  + matplotlib-inline                     0.1.3  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + more-itertools                       8.10.0  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + msgpack-python                        1.0.2  py37h2527ec5_1       conda-forge/linux-64         91 KB
  + multidict                             5.2.0  py37h5e8e339_0       conda-forge/linux-64         63 KB
  + natsort                               7.1.1  pyhd8ed1ab_0         conda-forge/noarch           33 KB
  + nbformat                              5.1.3  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + ncurses                                 6.2  h58526e2_4           conda-forge/linux-64        Cached
  + networkx                              2.6.3  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + numpy                                1.19.2  py37h7008fea_1       conda-forge/linux-64          5 MB
  + olefile                                0.46  pyh9f0ad1d_1         conda-forge/noarch          Cached
  + openjpeg                              2.3.1  hf7af979_3           conda-forge/linux-64        395 KB
  + openpyxl                              3.0.5  py_0                 conda-forge/noarch          154 KB
  + openssl                              1.1.1l  h7f98852_0           conda-forge/linux-64        Cached
  + oyaml                                   0.9  py37hc8dfbb8_1       conda-forge/linux-64          7 KB
  + packaging                              21.0  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + pandas                                1.1.3  py37hb33c840_2       conda-forge/linux-64         10 MB
  + pango                                1.42.4  h69149e4_5           conda-forge/linux-64        533 KB
  + paramiko                              2.8.0  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + parso                                 0.8.2  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + patsy                                 0.5.2  pyhd8ed1ab_0         conda-forge/noarch          188 KB
  + pcre                                   8.45  h9c3ff4c_0           conda-forge/linux-64        Cached
  + perl                                 5.26.2  h36c2ea0_1008        conda-forge/linux-64         15 MB
  + pexpect                               4.8.0  py37hc8dfbb8_1       conda-forge/linux-64         79 KB
  + pickleshare                           0.7.5  py37hc8dfbb8_1002    conda-forge/linux-64         13 KB
  + pillow                                8.1.2  py37h4600e1f_0       conda-forge/linux-64        668 KB
  + pip                                    21.3  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + pixman                               0.40.0  h36c2ea0_0           conda-forge/linux-64        Cached
  + pkg-config                           0.29.2  h36c2ea0_1008        conda-forge/linux-64        Cached
  + pluggy                                1.0.0  py37h89c1867_1       conda-forge/linux-64         25 KB
  + ply                                    3.11  py_1                 conda-forge/noarch          Cached
  + prettytable                           2.2.1  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + prompt-toolkit                       3.0.21  pyha770c72_0         conda-forge/noarch          Cached
  + protobuf                             3.18.1  py37hcd2ae1e_0       conda-forge/linux-64        344 KB
  + psutil                                5.8.0  py37h5e8e339_1       conda-forge/linux-64        342 KB
  + pthread-stubs                           0.4  h36c2ea0_1001        conda-forge/linux-64        Cached
  + ptyprocess                            0.7.0  pyhd3deb0d_0         conda-forge/noarch          Cached
  + py                                   1.10.0  pyhd3deb0d_0         conda-forge/noarch          Cached
  + pyasn1                                0.4.8  py_0                 conda-forge/noarch          Cached
  + pyasn1-modules                        0.2.7  py_0                 conda-forge/noarch          Cached
  + pycparser                              2.20  pyh9f0ad1d_2         conda-forge/noarch          Cached
  + pygments                             2.10.0  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + pygraphviz                              1.7  py37h0b1d2a2_0       conda-forge/linux-64        125 KB
  + pynacl                                1.4.0  py37h5e8e339_2       conda-forge/linux-64          1 MB
  + pyopenssl                            21.0.0  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + pyparsing                             2.4.7  pyh9f0ad1d_0         conda-forge/noarch          Cached
  + pyphen                               0.11.0  pyhd8ed1ab_0         conda-forge/noarch            2 MB
  + pyrsistent                           0.17.3  py37h5e8e339_2       conda-forge/linux-64         89 KB
  + pysam                              0.16.0.1  py37h45aed0b_3       bioconda/linux-64             3 MB
  + pysftp                                0.2.9  py_1                 conda-forge/noarch          Cached
  + pysocks                               1.7.1  py37h89c1867_3       conda-forge/linux-64         27 KB
  + pytest                                6.2.5  py37h89c1867_0       conda-forge/linux-64        430 KB
  + python                                3.7.6  cpython_h8356626_6   conda-forge/linux-64         53 MB
  + python-dateutil                       2.8.2  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + python-irodsclient                    1.0.0  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + python_abi                              3.7  2_cp37m              conda-forge/linux-64        Cached
  + pytz                                 2021.3  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + pyu2f                                 0.1.5  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + pyyaml                                  6.0  py37h5e8e339_0       conda-forge/linux-64        188 KB
  + ratelimiter                           1.2.0  py37hc8dfbb8_1001    conda-forge/linux-64         12 KB
  + readline                                8.1  h46c0cb4_0           conda-forge/linux-64        Cached
  + requests                             2.26.0  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + rsa                                   4.7.2  pyh44b312d_0         conda-forge/noarch          Cached
  + s3transfer                            0.5.0  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + scikit-bio                            0.5.6  py37ha21ca33_4       conda-forge/linux-64          1 MB
  + scikit-learn                            1.0  py37hf0f1638_1       conda-forge/linux-64          8 MB
  + scipy                                 1.7.1  py37hf2a6cf1_0       conda-forge/linux-64         22 MB
  + seaborn                              0.11.0  ha770c72_1           conda-forge/linux-64          4 KB
  + seaborn-base                         0.11.0  pyhd8ed1ab_1         conda-forge/noarch          216 KB
  + setuptools                           58.2.0  py37h89c1867_0       conda-forge/linux-64        Cached
  + six                                  1.16.0  pyh6c4a22f_0         conda-forge/noarch          Cached
  + smmap                                 3.0.5  pyh44b312d_0         conda-forge/noarch          Cached
  + snakelines                           0.10.0  hdfd78af_1           /tmp/tmpcxr8mxp1/noarch      22 MB
  + snakemake                            5.13.0  0                    bioconda/noarch               6 KB
  + snakemake-minimal                    5.13.0  py_0                 bioconda/noarch             157 KB
  + soupsieve                             2.0.1  py37hc8dfbb8_0       conda-forge/linux-64         56 KB
  + sqlite                               3.36.0  h9cd32fc_2           conda-forge/linux-64        Cached
  + statsmodels                          0.13.0  py37hb1e94ed_0       conda-forge/linux-64         11 MB
  + stone                                 3.2.1  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + threadpoolctl                         3.0.0  pyh8a188c0_0         conda-forge/noarch          Cached
  + tinycss2                              1.1.0  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + tk                                   8.6.10  h21135ba_1           conda-forge/linux-64          3 MB
  + toml                                 0.10.2  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + toposort                                1.7  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + tornado                                 6.1  py37h5e8e339_1       conda-forge/linux-64        646 KB
  + traitlets                             5.1.0  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + typing-extensions                  3.10.0.2  hd8ed1ab_0           conda-forge/noarch          Cached
  + typing_extensions                  3.10.0.2  pyha770c72_0         conda-forge/noarch          Cached
  + urllib3                              1.26.7  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + wcwidth                               0.2.5  pyh9f0ad1d_2         conda-forge/noarch          Cached
  + weasyprint                               51  py37hf1d8f60_2       conda-forge/linux-64        547 KB
  + webencodings                          0.5.1  py_1                 conda-forge/noarch          Cached
  + wheel                                0.37.0  pyhd8ed1ab_1         conda-forge/noarch          Cached
  + wrapt                                1.13.2  py37h5e8e339_0       conda-forge/linux-64         48 KB
  + xmlrunner                             1.7.7  py_0                 conda-forge/noarch          Cached
  + xorg-kbproto                          1.0.7  h7f98852_1002        conda-forge/linux-64        Cached
  + xorg-libice                          1.0.10  h7f98852_0           conda-forge/linux-64        Cached
  + xorg-libsm                            1.2.3  hd9c2040_1000        conda-forge/linux-64        Cached
  + xorg-libx11                           1.7.2  h7f98852_0           conda-forge/linux-64        Cached
  + xorg-libxau                           1.0.9  h7f98852_0           conda-forge/linux-64        Cached
  + xorg-libxdmcp                         1.1.3  h7f98852_0           conda-forge/linux-64        Cached
  + xorg-libxext                          1.3.4  h7f98852_1           conda-forge/linux-64        Cached
  + xorg-libxpm                          3.5.13  h7f98852_0           conda-forge/linux-64         63 KB
  + xorg-libxrender                      0.9.10  h7f98852_1003        conda-forge/linux-64        Cached
  + xorg-libxt                            1.2.1  h7f98852_2           conda-forge/linux-64        Cached
  + xorg-renderproto                     0.11.1  h7f98852_1002        conda-forge/linux-64        Cached
  + xorg-xextproto                        7.3.0  h7f98852_1002        conda-forge/linux-64        Cached
  + xorg-xproto                          7.0.31  h7f98852_1007        conda-forge/linux-64        Cached
  + xz                                    5.2.5  h516909a_1           conda-forge/linux-64        Cached
  + yaml                                  0.2.5  h516909a_0           conda-forge/linux-64        Cached
  + yarl                                  1.5.1  py37h8f50634_0       conda-forge/linux-64        138 KB
  + zipp                                  3.6.0  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + zlib                                 1.2.11  h36c2ea0_1013        conda-forge/linux-64        Cached
  + zstd                                  1.5.0  ha95c52a_0           conda-forge/linux-64        Cached

  Summary:

  Install: 249 packages

  Total download: 249 MB

──────────────────────────────────────────────────────────────────────────────────────────────────────────


## Package Plan ##

  environment location: /home/vsts/conda/conda-bld/snakelines_1634930195177/_test_env_placehold_placehold_placehold_placehold_placehold_placehold_placehold_placehold_placehold_placehold_placehold_placehold_placehold_placehold_placehold_placehold_placehold_placehold_placehold_p


The following NEW packages will be INSTALLED:

    _libgcc_mutex:                 0.1-conda_forge            conda-forge            
    _openmp_mutex:                 4.5-1_gnu                  conda-forge            
    aioeasywebdav:                 2.4.0-py37h89c1867_1001    conda-forge            
    aiohttp:                       3.7.4.post0-py37h5e8e339_0 conda-forge            
    appdirs:                       1.4.4-pyh9f0ad1d_0         conda-forge            
    async-timeout:                 3.0.1-py_1000              conda-forge            
    atk:                           2.36.0-ha770c72_4          conda-forge            
    atk-1.0:                       2.36.0-h3371d22_4          conda-forge            
    attrs:                         21.2.0-pyhd8ed1ab_0        conda-forge            
    backcall:                      0.2.0-pyh9f0ad1d_0         conda-forge            
    backports:                     1.0-py_2                   conda-forge            
    backports.functools_lru_cache: 1.6.4-pyhd8ed1ab_0         conda-forge            
    bcrypt:                        3.2.0-py37h5e8e339_1       conda-forge            
    beautifulsoup4:                4.9.3-pyhb0f4dca_0         conda-forge            
    biopython:                     1.78-py37h5e8e339_2        conda-forge            
    boto3:                         1.19.1-pyhd8ed1ab_0        conda-forge            
    botocore:                      1.22.1-pyhd8ed1ab_0        conda-forge            
    brotlipy:                      0.7.0-py37h5e8e339_1001    conda-forge            
    bs4:                           4.9.3-0                    conda-forge            
    bzip2:                         1.0.8-h7f98852_4           conda-forge            
    c-ares:                        1.17.2-h7f98852_0          conda-forge            
    ca-certificates:               2021.10.8-ha878542_0       conda-forge            
    cachecontrol:                  0.12.6-py_0                conda-forge            
    cachetools:                    4.2.4-pyhd8ed1ab_0         conda-forge            
    cairo:                         1.16.0-h9f066cc_1006       conda-forge            
    cairocffi:                     1.2.0-pyhd8ed1ab_0         conda-forge            
