  Package                              Version  Build                    Channel                                                                    Size
  + perl-module-load                      0.32  pl526_1                  bioconda/osx-64                                                            4 KB
  + perl-module-load-conditional          0.68  pl526_2                  bioconda/osx-64                                                           10 KB
  + perl-module-metadata              1.000036  pl526_0                  bioconda/osx-64                                                           15 KB
  + perl-params-check                     0.38  pl526_1                  bioconda/osx-64                                                            4 KB
  + perl-parent                          0.236  pl526_1                  bioconda/osx-64                                                            6 KB
  + perl-perl-ostype                     1.010  pl526_1                  bioconda/osx-64                                                            6 KB
  + perl-scalar-list-utils                1.52  pl526h01d97ff_0          bioconda/osx-64                                                           35 KB
  + perl-text-abbrev                      1.02  pl526_0                  bioconda/osx-64                                                            5 KB
  + perl-text-parsewords                  3.30  pl526_0                  bioconda/osx-64                                                            8 KB
  + perl-version                        0.9924  pl526_0                  bioconda/osx-64                                                           32 KB
  + perl-yaml                             1.29  pl526_0                  bioconda/noarch                                                           41 KB
  + pillow                               8.3.2  py37h76dc067_0           conda-forge/osx-64                                                       662 KB
  + pip                                 21.2.4  pyhd8ed1ab_0             conda-forge/noarch                                                       Cached
  + pixman                              0.38.0  h01d97ff_1003            conda-forge/osx-64                                                       611 KB
  + prodigal                             2.6.3  hb4d813b_3               bioconda/osx-64                                                          399 KB
  + py-boost                            1.67.0  py37h6440ff4_4           pkgs/main/osx-64                                                         286 KB
  + pyparsing                            2.4.7  pyh9f0ad1d_0             conda-forge/noarch                                                        60 KB
  + python                               3.7.3  h0d93f26_0               conda-forge/osx-64                                                        21 MB
  + python-dateutil                      2.8.2  pyhd8ed1ab_0             conda-forge/noarch                                                       240 KB
  + python_abi                             3.7  2_cp37m                  conda-forge/osx-64                                                         4 KB
  + pytz                                2021.1  pyhd8ed1ab_0             conda-forge/noarch                                                       Cached
  + pyyaml                               5.4.1  py37h271585c_1           conda-forge/osx-64                                                       169 KB
  + r-assertthat                         0.2.1  r36h6115d3f_2            conda-forge/noarch                                                        70 KB
  + r-backports                          1.2.1  r36h28b5c78_0            conda-forge/osx-64                                                        96 KB
  + r-base                               3.6.0  hcb44179_0               pkgs/r/osx-64                                                             26 MB
  + r-brio                               1.1.2  r36h28b5c78_0            conda-forge/osx-64                                                        36 KB
  + r-callr                              3.7.0  r36hc72bb7e_0            conda-forge/noarch                                                       440 KB
  + r-cli                                2.5.0  r36hc72bb7e_0            conda-forge/noarch                                                       533 KB
  + r-colorspace                         2.0_1  r36h28b5c78_0            conda-forge/osx-64                                                         3 MB
  + r-crayon                             1.4.1  r36hc72bb7e_0            conda-forge/noarch                                                       145 KB
  + r-desc                               1.3.0  r36hc72bb7e_0            conda-forge/noarch                                                       547 KB
  + r-diffobj                            0.3.4  r36h28b5c78_0            conda-forge/osx-64                                                      1005 KB
  + r-digest                            0.6.27  r36h9951f98_0            conda-forge/osx-64                                                       204 KB
  + r-ellipsis                           0.3.2  r36h28b5c78_0            conda-forge/osx-64                                                        40 KB
  + r-evaluate                            0.14  r36h6115d3f_2            conda-forge/noarch                                                        81 KB
  + r-fansi                              0.4.2  r36h28b5c78_0            conda-forge/osx-64                                                       187 KB
  + r-farver                             2.1.0  r36h9951f98_0            conda-forge/osx-64                                                         1 MB
  + r-ggplot2                            3.3.3  r36hc72bb7e_0            conda-forge/noarch                                                         4 MB
  + r-glue                               1.4.2  r36h066c5db_0            conda-forge/osx-64                                                       139 KB
  + r-gtable                             0.3.0  r36h6115d3f_3            conda-forge/noarch                                                       423 KB
  + r-isoband                            0.2.4  r36h9951f98_0            conda-forge/osx-64                                                         2 MB
  + r-jsonlite                           1.7.2  r36h066c5db_0            conda-forge/osx-64                                                       458 KB
  + r-labeling                           0.4.2  r36h142f84f_0            conda-forge/noarch                                                        67 KB
  + r-lattice                          0.20_44  r36h28b5c78_0            conda-forge/osx-64                                                         1 MB
  + r-lifecycle                          1.0.0  r36hc72bb7e_0            conda-forge/noarch                                                        97 KB
  + r-magrittr                           2.0.1  r36h066c5db_1            conda-forge/osx-64                                                       209 KB
  + r-mass                              7.3_54  r36h28b5c78_0            conda-forge/osx-64                                                         1 MB
  + r-matrix                             1.3_3  r36hc2c5f09_0            conda-forge/osx-64                                                         4 MB
  + r-mgcv                              1.8_35  r36hc2c5f09_0            conda-forge/osx-64                                                         3 MB
  + r-munsell                            0.5.0  r36h6115d3f_1003         conda-forge/noarch                                                       246 KB
  + r-nlme                             3.1_141  r36haf69682_1            conda-forge/osx-64                                                         2 MB
  + r-pillar                             1.6.1  r36hc72bb7e_0            conda-forge/noarch                                                       970 KB
  + r-pkgconfig                          2.0.3  r36h6115d3f_1            conda-forge/noarch                                                        24 KB
  + r-pkgload                            1.2.1  r36h9951f98_0            conda-forge/osx-64                                                       169 KB
  + r-praise                             1.0.0  r36h6115d3f_1004         conda-forge/noarch                                                        23 KB
  + r-processx                           3.5.2  r36h28b5c78_0            conda-forge/osx-64                                                       301 KB
  + r-ps                                 1.6.0  r36h28b5c78_0            conda-forge/osx-64                                                       291 KB
  + r-r6                                 2.5.0  r36hc72bb7e_0            conda-forge/noarch                                                        89 KB
  + r-rcolorbrewer                       1.1_2  r36h6115d3f_1003         conda-forge/noarch                                                        59 KB
  + r-rcpp                               1.0.6  r36h815b84a_0            conda-forge/osx-64                                                         2 MB
  + r-rematch2                           2.1.2  r36h6115d3f_1            conda-forge/noarch                                                        52 KB
  + r-rlang                             0.4.11  r36h28b5c78_0            conda-forge/osx-64                                                         1 MB
  + r-rprojroot                          2.0.2  r36hc72bb7e_0            conda-forge/noarch                                                       110 KB
  + r-rstudioapi                          0.13  r36hc72bb7e_0            conda-forge/noarch                                                       281 KB
  + r-scales                             1.1.1  r36h6115d3f_0            conda-forge/noarch                                                       558 KB
  + r-testthat                           3.0.2  r36h9951f98_0            conda-forge/osx-64                                                         2 MB
  + r-tibble                             3.1.2  r36h28b5c78_0            conda-forge/osx-64                                                       733 KB
  + r-utf8                               1.2.1  r36h28b5c78_0            conda-forge/osx-64                                                       157 KB
  + r-vctrs                              0.3.8  r36h28b5c78_1            conda-forge/osx-64                                                         1 MB
  + r-viridislite                        0.4.0  r36hc72bb7e_0            conda-forge/noarch                                                         1 MB
  + r-waldo                              0.2.5  r36hc72bb7e_0            conda-forge/noarch                                                        78 KB
  + r-withr                              2.4.2  r36hc72bb7e_0            conda-forge/noarch                                                       220 KB
  + readline                               7.0  hcfe32e1_1001            conda-forge/osx-64                                                       393 KB
  + scipy                                1.3.1  py37hab3da7d_2           conda-forge/osx-64                                                        16 MB
  + seaborn-base                        0.11.2  pyhd8ed1ab_0             conda-forge/noarch                                                       223 KB
  + sepp                                 4.5.1  py37_0                   bioconda/osx-64                                                            5 MB
  + setuptools                          58.0.3  py37hf985489_0           conda-forge/osx-64                                                       928 KB
  + six                                 1.16.0  pyh6c4a22f_0             conda-forge/noarch                                                       Cached
  + sqlite                              3.28.0  h9721f7c_0               conda-forge/osx-64                                                         2 MB
  + suitesparse                         5.10.1  h7aff33d_1               conda-forge/osx-64                                                         2 MB
  + tapi                             1100.0.11  h9ce4665_0               conda-forge/osx-64                                                       196 KB
  + tbb                               2021.3.0  h940c156_0               conda-forge/osx-64                                                       162 KB
  + tk                                  8.6.11  h5dbffcc_1               conda-forge/osx-64                                                       Cached
  + tktable                               2.10  h49f0cf7_3               conda-forge/osx-64                                                        79 KB
  + tornado                                6.1  py37h271585c_1           conda-forge/osx-64                                                       645 KB
  + ujson                                4.0.2  py37hd8d24ac_0           conda-forge/osx-64                                                        50 KB
  + wheel                               0.37.0  pyhd8ed1ab_1             conda-forge/noarch                                                       Cached
  + xz                                   5.2.5  haf1e3a3_1               conda-forge/osx-64                                                       Cached
  + yaml                                 0.2.5  haf1e3a3_0               conda-forge/osx-64                                                       Cached
  + zlib                                1.2.11  h7795811_1010            conda-forge/osx-64                                                       Cached
  + zstd                                 1.5.0  h582d3a0_0               conda-forge/osx-64                                                       Cached

  Summary:

  Install: 202 packages

  Total download: 596 MB

──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────

Updating build index: /Users/runner/conda/conda-bld

TEST START: /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/tmpva1zazqf/noarch/eukulele-1.0.6-pyh723bec7_0.tar.bz2

## Package Plan ##

  environment location: /Users/runner/conda/conda-bld/eukulele_1631192810126/_test_env_placehold_placehold_placehold_placehold_placehold_placehold_placehold_placehold_placehold_placehold_placehold_placehold_placehold_placehold_placehold_placehold_placehold_placehold_placehold_


The following NEW packages will be INSTALLED:

    _r-mutex:                     1.0.1-anacondar_1             conda-forge                                                        
    augustus:                     3.2.3-pl526hcfae127_5         bioconda                                                           
    bamtools:                     2.4.1-1                       bioconda                                                           
    biopython:                    1.78-py37h271585c_2           conda-forge                                                        
    blas:                         1.1-openblas                  conda-forge                                                        
    blast:                        2.2.31-boost1.60_2            bioconda                                                           
    boost:                        1.67.0-py37_4                                                                                    
    boost-cpp:                    1.69.0-h6f8c590_1000          conda-forge                                                        
    busco:                        4.0.6-pyr36_0                 bioconda                                                           
    bwidget:                      1.9.14-h694c41f_0             conda-forge                                                        
    bzip2:                        1.0.8-h0d85af4_4              conda-forge                                                        
    ca-certificates:              2021.5.30-h033912b_0          conda-forge                                                        
    cairo:                        1.16.0-h0ab9d94_1001          conda-forge                                                        
    cctools_osx-64:               973.0.1-h3e07e27_1            conda-forge                                                        
    certifi:                      2021.5.30-py37hf985489_0      conda-forge                                                        
    chardet:                      4.0.0-py37hf985489_1          conda-forge                                                        
    clang:                        12.0.1-h694c41f_3             conda-forge                                                        
    clang-12:                     12.0.1-default_he082bbe_3     conda-forge                                                        
    clang_osx-64:                 12.0.1-hb91bd55_1             conda-forge                                                        
    clangxx:                      12.0.1-default_he082bbe_3     conda-forge                                                        
    clangxx_osx-64:               12.0.1-h7e1b574_1             conda-forge                                                        
    compiler-rt:                  12.0.1-he01351e_0             conda-forge                                                        
    compiler-rt_osx-64:           12.0.1-hd3f61c9_0             conda-forge                                                        
    curl:                         7.68.0-h8754def_0             conda-forge                                                        
    cycler:                       0.10.0-py_2                   conda-forge                                                        
    dendropy:                     4.5.2-pyh3252c3a_0            bioconda                                                           
    diamond:                      0.9.24-ha87ae23_0             bioconda                                                           
    eukulele:                     1.0.6-pyh723bec7_0            file:///var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/tmpva1zazqf
    findutils:                    4.6.0-h1de35cc_1000           conda-forge                                                        
    fontconfig:                   2.13.1-h10f422b_1005          conda-forge                                                        
    freetype:                     2.10.4-h4cff582_1             conda-forge                                                        
    fribidi:                      1.0.10-hbcb3906_0             conda-forge                                                        
    gettext:                      0.19.8.1-haf92f58_1004        conda-forge                                                        
    gfortran_osx-64:              4.8.5-h22b1bf0_8              conda-forge                                                        
    glib:                         2.66.3-h519c658_0             conda-forge                                                        
    gmp:                          6.2.1-h2e338ed_0              conda-forge                                                        
    graphite2:                    1.3.13-h2e338ed_1001          conda-forge                                                        
    gsl:                          2.2.1-blas_openblash47a8a8e_5 conda-forge                                                         [blas_openblas]
    harfbuzz:                     2.4.0-h92b87b8_1              conda-forge                                                        
    hmmer:                        3.1b2-3                       bioconda                                                           
    icu:                          58.2-h0a44026_1000            conda-forge                                                        
    jbig:                         2.1-h0d85af4_2003             conda-forge                                                        
    joblib:                       1.0.1-pyhd8ed1ab_0            conda-forge                                                        
    jpeg:                         9d-hbcb3906_0                 conda-forge                                                        
